"id","description","moisture_%","energy_kcal","energy_kJ","protein_g","lipidis_g","cholesterol_mg","carbohydrate_g_100","carbohydrate_g_1","fiber_g","ash_g","calcium_mg","magnesium_mg","manganese_mg","phosphorus_mg","iron_mg","sodium_mg","potassium_mg","copper_mg","zinc_mg","retinol_mcg","re_mcg","rae_mcg","thiamine_mg","riboflavin_mg","pyridoxine_mg","niacin_mg","c_mg"
1,"Arroz, integral, cozido","70,1",124,517,"2,6",1,"NA","25,8","0,258","2,7","0,5",5,59,"0,63",106,"0,3",1,75,"0,02","0,7","NA",,,"0,08","Tr","0,08","Tr",
2,"Arroz, integral, cru","12,2",360,1505,"7,3","1,9","NA","77,5","0,775","4,8","1,2",8,110,"2,99",251,"0,9",2,173,"0,07","1,4","NA",,,"0,26","Tr","0,18","4,18",
3,"Arroz, tipo 1, cozido","69,1",128,537,"2,5","0,2","NA","28,1","0,281","1,6","0,1",4,2,"0,3",18,"0,1",1,15,"0,02","0,5","NA",,,"Tr","Tr","Tr","Tr",
4,"Arroz, tipo 1, cru","13,2",358,1497,"7,2","0,3","NA","78,8","0,788","1,6","0,5",4,30,"1,03",104,"0,7",1,62,"0,11","1,2","NA",,,"0,16","Tr","0,07","1,12",
5,"Arroz, tipo 2, cozido","68,7",130,544,"2,6","0,4","NA","28,2","0,282","1,1","0,1",3,6,"0,37",22,"0,1",2,20,"0,04","0,5","NA",,,"Tr","Tr","Tr","Tr",
6,"Arroz, tipo 2, cru","13,2",358,1498,"7,2","0,3","NA","78,9","0,789","1,7","0,4",5,29,"0,83",82,"0,6",1,57,"0,05","1,3","NA",,,"0,16","Tr","0,05","0,92",
64,"Abóbora, cabotian, cozida","86,4",48,201,"1,4","0,7",NA,"10,8","0,108","2,5","0,7",8,9,"0,26",33,"0,3",1,199,"0,06","0,3",NA,,,"0,08",Tr,"0,07",Tr,"7,5"
65,"Abóbora, cabotian, crua","88,5",39,161,"1,7","0,5",NA,"8,4","0,084","2,2","0,8",18,9,"0,11",26,"0,4",Tr,351,"0,06","0,3",NA,446,223,Tr,Tr,"0,1",Tr,"5,1"
66,"Abóbora, menina brasileira, crua","95,7",14,57,"0,6",Tr,NA,"3,3","0,033","1,2","0,4",9,4,"0,01",12,"0,2",Tr,165,"0,02",Tr,NA,1108,554,"0,07",Tr,"0,04",Tr,"1,5"
67,"Abóbora, moranga, crua","95,9",12,52,1,"0,1",NA,"2,7","0,027","1,7","0,4",3,2,"0,01",8,Tr,Tr,125,"0,05","0,1",NA,278,139,Tr,Tr,"0,06",Tr,"9,6"
68,"Abóbora, moranga, refogada","92,5",29,121,"0,4","0,8",NA,6,"0,06","1,5","0,4",19,7,"0,02",12,"0,1",3,183,"0,04","0,1",NA,95,48,"0,05",Tr,"0,05",Tr,"6,7"
69,"Abóbora, pescoço, crua","92,5",24,102,"0,7","0,1",NA,"6,1","0,061","2,3","0,6",9,7,"0,07",32,"0,3",1,264,"0,09","0,2",NA,,,Tr,Tr,"0,06",Tr,"2,1"
70,"Abobrinha, italiana, cozida","95,3",15,63,"1,1","0,2",NA,3,"0,03","1,6","0,4",17,17,"0,11",22,"0,2",1,126,"0,01","0,3",NA,,,"0,05",Tr,"0,06",Tr,"2,1"
71,"Abobrinha, italiana, crua","93,9",19,81,"1,1","0,1",NA,"4,3","0,043","1,4","0,6",15,20,"0,09",32,"0,2",Tr,253,"0,05","0,2",NA,41,20,Tr,"0,06","0,03",Tr,"6,9"
72,"Abobrinha, italiana, refogada","93,5",24,102,"1,1","0,8",NA,"4,2","0,042","1,4","0,4",21,13,"0,14",32,"0,4",2,194,"0,02","0,3",NA,42,21,"0,04",Tr,Tr,Tr,"7,5"
73,"Abobrinha, paulista, crua","90,9",31,129,"0,6","0,1",NA,"7,9","0,079","2,6","0,5",19,9,"0,11",33,"0,2",1,213,"0,1","0,2",NA,,,Tr,Tr,"0,03",Tr,"17,5"
74,"Acelga, crua","93,2",21,88,"1,4","0,1",NA,"4,6","0,046","1,1","0,6",43,10,"0,11",40,"0,3",1,240,"0,1","0,3",NA,,,"0,04",Tr,"0,16",Tr,"22,6"
75,"Agrião, cru","93,9",17,69,"2,7","0,2",NA,"2,3","0,023","2,1","0,9",133,18,"0,28",51,"3,1",7,218,"0,1","0,7",NA,458,229,"0,11","0,23","0,09","1,19","60,1"
